Track Name,Artist Name(s),Decade,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Time Signature
Rock Box,Run–D.M.C.,80,330573,46,0.777,0.892,0,-4.555,0.0932,0.171,0.384,0.648,100.231,4
Planet Rock - Original 12 Version,"Afrika Bambaataa,The Soulsonic Force",80,383960,45,0.947,0.859,6,-6.126,0.162,0.0537,0.19,0.778,127.07,4
Cha Cha Cha,MC Lyte,80,180093,39,0.881,0.889,10,-6.062,0.357,0.155,0.316,0.922,91.325,4
Paid In Full - Seven Minutes Of Madness - The Coldcut Remix,Eric B. & Rakim,80,429560,43,0.812,0.698,4,-8.887,0.126,0.00198,0.33,0.291,98.211,4
Going Way Back,"Just-Ice,KRS-One",80,303933,34,0.815,0.783,7,-7.94,0.392,0.164,0.075,0.889,177.645,4
Shake Your Rump,Beastie Boys,80,198253,55,0.888,0.699,1,-10.425,0.164,0.0159,0.111,0.697,103.066,4
Strong Island,JVC Force,80,359693,36,0.766,0.902,6,-6.36,0.0973,0.754,0.183,0.958,95.883,4
Jam On It,Newcleus,80,383600,50,0.804,0.782,6,-6.224,0.0606,0.00302,0.662,0.346,116.806,4
Renegades of Funk - 12 Vocal Version,"Afrika Bambaataa,The Soulsonic Force",80,403666,35,0.827,0.909,1,-6.779,0.0725,0.009,0.111,0.836,113.913,4
I Need Love,LL COOL J,80,321986,42,0.769,0.417,0,-14.409,0.314,0.0777,0.0964,0.655,88.178,4
Sucker M.C.'s (Krush-Groove 1),Run–D.M.C.,80,189946,44,0.919,0.975,6,-5.636,0.0886,0.0898,0.248,0.884,102.982,4
Talkin' All That Jazz,Stetsasonic,80,288053,47,0.829,0.817,4,-6.539,0.0769,0.00096,0.112,0.622,107.908,4
One For The Treble,Davy DMX,80,390173,33,0.906,0.309,10,-18.704,0.251,0.0000264,0.0641,0.717,105.225,4
Raw (Edit) - 45 Version,Big Daddy Kane,80,248266,35,0.947,0.672,4,-13.819,0.349,0.0662,0.0547,0.741,109.55,4
Jazzy Sensation - Bronx Version,"Afrika Bambaataa,The Jazzy 5",80,583266,33,0.85,0.841,10,-7.308,0.215,0.0554,0.0568,0.84,104.458,4
Don't Believe The Hype,Public Enemy,80,319493,48,0.884,0.472,11,-13.776,0.346,0.0142,0.142,0.826,98.425,4
Jam On Revenge (The Wikki Wikki Song),Newcleus,80,395626,37,0.769,0.825,4,-6.879,0.0897,0.00213,0.2,0.573,112.407,4
The Godfather,Spoonie Gee,80,293733,34,0.818,0.739,7,-9.991,0.0567,0.012,0.0653,0.912,104.657,4
Pack Jam - Remastered 12 Remix,Jonzun Crew,80,314386,34,0.811,0.981,1,-4.837,0.0824,0.00253,0.217,0.315,118.898,4
Strictly Business,EPMD,80,285413,48,0.712,0.895,10,-4.212,0.254,0.181,0.108,0.727,96.338,4
That's the Joint,Funky 4 + 1,80,562066,34,0.851,0.954,1,-4.994,0.0961,0.153,0.319,0.86,105.406,4
My Part of Town,Tuff Crew,80,271333,37,0.944,0.805,6,-9.578,0.327,0.182,0.468,0.833,113.993,4
Get into It,Tony Scott,80,197933,41,0.791,0.851,11,-8.362,0.0519,0.0191,0.331,0.877,121.911,4
It Was A Good Day,Ice Cube,90,260000,81,0.798,0.744,7,-5.328,0.136,0.33,0.292,0.794,82.356,4
I Get Around,"2Pac,Digital Underground",90,259000,68,0.846,0.416,10,-13.767,0.118,0.156,0.238,0.645,96.188,4
N.Y. State of Mind,Nas,90,293973,71,0.665,0.91,6,-4.682,0.223,0.0394,0.227,0.887,84.099,4
Twinz (feat. Fat Joe),"Big Pun,Fat Joe",90,228173,67,0.633,0.764,0,-7.212,0.323,0.32,0.234,0.522,94.971,4
Get Money,Junior M.A.F.I.A.,90,274937,62,0.736,0.828,11,-5.835,0.284,0.477,0.251,0.899,91.224,4
Tonight's Da Night,Redman,90,201373,62,0.697,0.687,6,-11.111,0.379,0.26,0.403,0.866,90.247,4
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)","Wu-Tang Clan,Method Man,Raekwon,Inspectah Deck,Buddha Monk",90,252186,74,0.479,0.549,11,-10.551,0.373,0.57,0.127,0.576,180.985,4
Invocation,Common,90,134040,61,0.753,0.539,6,-8.03,0.425,0.0515,0.0841,0.78,83.92,4
It Ain't Hard to Tell,Nas,90,202106,65,0.69,0.729,11,-5.819,0.221,0.000017,0.152,0.357,91.376,4
Do For Love,2Pac,90,281600,75,0.874,0.63,1,-3.585,0.298,0.0578,0.0582,0.717,95,4
"Shook Ones, Pt. II",Mobb Deep,90,325506,76,0.763,0.786,10,-6.472,0.229,0.0146,0.0817,0.504,93.857,4
You Know How We Do It,Ice Cube,90,232773,78,0.747,0.52,10,-10.523,0.0357,0.0977,0.142,0.601,92.869,4
Book of Life,Hi-Tech,90,298707,55,0.647,0.564,1,-7.52,0.109,0.0138,0.144,0.639,94.987,4
Find a Way,A Tribe Called Quest,90,203066,63,0.773,0.581,8,-8.466,0.432,0.0352,0.485,0.711,94.093,4
Hip 2 Da Game,Lord Finesse,90,243106,59,0.769,0.752,11,-6,0.324,0.0317,0.0564,0.527,90.228,4
93 'Til Infinity,Souls Of Mischief,90,286440,70,0.59,0.672,1,-11.792,0.412,0.125,0.147,0.688,206.247,4
Keep Ya Head Up,2Pac,90,262506,70,0.598,0.732,4,-7.013,0.425,0.144,0.508,0.595,172.329,4
Young G's (feat. The Notorious B.I.G. & Jay-Z),"Diddy,The Notorious B.I.G.,JAY-Z",90,325733,59,0.753,0.525,6,-8.32,0.352,0.152,0.141,0.482,169.984,4
Nas Is Like,Nas,90,237026,67,0.634,0.845,11,-5.058,0.352,0.00602,0.0598,0.929,94,4
